second_purchase_timing,sort_order,eligible_customers,later_repeat_customers,later_repeat_rate_pct,feature_window,outcome_window
Within 7 days,1,329,139,42.2,Days 0-90 after first observed order,Days 91-180 after first observed order
8-30 days,2,496,282,56.9,Days 0-90 after first observed order,Days 91-180 after first observed order
31-90 days,3,915,540,59.0,Days 0-90 after first observed order,Days 91-180 after first observed order
No second order in first 90 days,4,2281,617,27.0,Days 0-90 after first observed order,Days 91-180 after first observed order
